"Exports", "Експорти"
"Filters", "Filters"
"Shares", "Shares"
"Markdown", "Markdown"
"Provider", "Provider"
"General", "General"
"Disable", "Disable"
"Enable", "Enable"
"Add New", "Add New"
"Export Name", "Export Name"
"File Name", "File Name"
"Status", "Status"
"Format", "Format"
"Categories", "Categories"
"Quantity filter", "Quantity filter"
"Generated file", "Generated file"
"Export ID", "Export ID"
"Save Export", "Save Export"
"Generate", "Generate"
"Exports are generated", "Exports are generated"
"Manage Exports", "Manage Exports"
"Export Information", "Export Information"
"Export file created", "Export file created""
"Are you sure?", "Are you sure?"
"Delete Export", "Delete Export"
"New Export", "New Export"
"Save and Continue Edit", "Save and Continue Edit"
"Edit Export", "Edit Export"
"Generate Export", "Generate Export"
"General information", "General information"
"There is no generated file", "There is no generated file"
"Filter by quantity", "Filter by quantity"
"Filter by shares", "Filter by shares"
"Filter by markdown", "Filter by markdown"
"Filter by provider", "Filter by provider"

