"Exports", "Експорты"
"Filters", "Фильтры"
"Shares", "Акции"
"Markdown", "Уценка"
"Provider", "Поставщик"
"General", "Основное"
"Disable", "Выключен"
"Enable", "Включен"
"Add New", "Создать новый"
"Export Name", "Название експорта"
"File Name", "Имя файла"
"Status", "Статус"
"Format", "Формат"
"Categories", "Категории"
"Quantity filter", "Фильтр количества"
"Generated file", "Згенерированый файл"
"Export ID", "ID Експорта"
"Save Export", "Сохранить експорт"
"Generate", "Згенерировать"
"Exports are generated", "Еспорты згенерированы"
"Manage Exports", "Управление Експортами"
"Export Information", "Информация Експорта"
"Export file created", "Файл експорта создан"
"Are you sure?", "Вы уверены?"
"Delete Export", "Удалить експорт"
"New Export", "Новый експорт"
"Save and Continue Edit", "Сохранить и продолжить редактирование"
"Edit Export", "Редактирование експорта"
"Generate Export", "Згенерировать експорт"
"General information", "Основная информация"
"There is no generated file", "Нет згенерированого файла"
"Filter by quantity", "Фильтр по количеству"
"Filter by shares", "Фильтр по акциям"
"Filter by markdown", "Фильтр по уценке"
"Filter by provider", "Фильтр по поставщику"

